H1,CD4,CD8
1,2,2
23,9,15
60,35,19
29,13,30
16,42,41
22,6,5
5,4,4
30,17,19
61,18,20
17,12,11
7,17,17
11,33,45
6,8,10
48,66,69
4,92,85
14,10,10
12,152,174
16,17,15
6,32,31
12,34,45
18,14,18
41,6,4
11,25,26
16,12,7
1,12,12
20,5,9
11,20,17
15,15,14
2,9,18
5,23,25
33,14,19
1,11,3
16,36,22
8,15,19
8,22,22
30,15,25
2,10,5
17,11,12
17,16,13
32,154,138
5,8,10
4,14,16
91,27,24
204,11,14
3,46,47
50,36,26
10,10,12
5,7,11
7,8,9
16,3,5
25,10,10
27,8,7
16,5,5
8,3,1
6,5,5
5,6,4
24,12,19
5,4,5
23,8,11
1,14,21
4,7,11
10,22,20
105,119,124
4,5,6
3,19,20
13,15,15
163,2,1
15,2,1
7,17,17
105,76,67
5,4,2
5,31,42
18,19,16
13,6,7
1,5,6
7,18,15
54,30,16
34,6,11
8,8,9
23,83,92
22,18,20
17,10,12
62,5,4
1,1,2
4,10,13
5,10,12
33,4,4
3,36,22
8,5,3
1,4,6
41,20,7
5,5,5
18,141,112
14,16,17
20,62,61
15,298,399
11,38,38
16,21,23
4,38,60
49,49,62
56,34,34
3,30,22
68,1,1
1,6,7
42,13,13
60,18,18
25,62,56
17,18,24
162,53,52
40,6,11
20,4,6
8,50,89
5,25,23
10,8,6
11,2,2
100,100,80
5,7,3
51,18,18
2,2,1
18,21,17
61,3,1
40,19,27
20,9,12
17,52,51
6,7,11
6,3,3
53,23,20
3,8,12
16,13,14
10,11,6
19,6,5
3,9,10
11,47,37
81,78,54
13,19,21
49,116,123
40,28,29
26,27,31
15,24,21
8,20,29
3,14,16
10,24,22
4,38,6
42,30,19
4,5,4
1,7,8
26,28,31
175,57,64
4,3,2
3,8,8
16,38,31
39,53,48
2,48,33
1,1,1
9,9,9
16,39,46
2,3,3
132,35,35
58,8,8
50,41,36
13,2,6
25,6,5
55,18,21
21,62,60
30,2,1
8,3,3
3,9,14
27,9,4
15,23,34
4,4,2
2,8,10
18,13,14
7,16,15
1,41,54
4,19,47
14,36,44
53,12,14
8,8,8
13,9,10
16,21,11
34,58,33
4,13,12
12,7,6
4,3,2
22,11,4
5,21,19
1,2,1
1,135,304
9,7,6
55,67,67
13,2,3
20,7,6
7,8,9
2,157,135
11,2,4
5,14,27
3,3,6
14,22,26
14,19,23
11,7,10
20,3,2
5,6,9
14,4,5
46,39,27
1,2,4
25,16,16
13,8,6
9,21,23
5,1,2
9,5,1
3,17,16
14,3,4
96,18,15
14,15,15
5,9,11
52,17,27
25,13,14
12,3,4
2,9,13
7,3,3
7,3,6
5,75,72
6,22,12
1,6,10
31,14,18
4,6,6
3,6,5
14,23,25
4,10,13
5,7,8
12,2,3
7,8,9
10,15,15
2,5,8
2,113,111
2,9,10
2,9,17
4,13,19
1,8,11
8,10,14
21,52,59
31,18,11
3,311,328
5,13,16
46,8,7
70,36,21
23,17,18
17,18,18
5,12,10
188,21,16
73,110,99
115,71,66
21,8,8
5,37,38
13,10,10
17,1,1
53,12,11
53,55,65
1,1,2
27,8,12
18,9,7
3,24,6
1,1,1
22,29,26
22,18,29
5,14,10
31,12,14
23,7,9
2,5,4
46,38,16
25,9,4
10,27,15
4,7,8
5,1,2
41,18,28
15,13,14
9,31,32
19,9,13
3,14,14
15,25,14
24,4,3
28,20,17
6,38,27
2,2,3
9,7,10
6,3,1
78,65,29
13,99,41
16,9,11
9,19,24
19,19,23
10,3,5
34,32,30
